news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
American Spectator,right,5,News Media,7031,2838,0.7124328706049246,https://www.allsides.com/news-source/american-spectator,0,0,0,1,Medium,https://twitter.com/AmSpec?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/The_American_Spectator,https://www.facebook.com/amspec/,AmSpec
American Thinker,right,5,News Media,1368,754,0.644674835061263,https://www.allsides.com/news-source/american-thinker,0,0,0,0,Medium,https://twitter.com/AmericanThinker,https://en.wikipedia.org/wiki/American_Thinker,https://www.facebook.com/AmericanThinker/,AmericanThinker
Americans for Democratic Action,left,1,Think Tank / Policy Group,491,216,0.6944837340876945,https://www.allsides.com/news-source/americans-democratic-action,0,0,0,0,NA,NA,NA,NA,NA
Americans for Tax Reform,right,5,Think Tank / Policy Group,523,376,0.5817575083426029,https://www.allsides.com/news-source/americans-tax-reform,0,0,0,0,NA,NA,NA,NA,NA
Andrew Napolitano,right,5,Author,621,503,0.552491103202847,https://www.allsides.com/news-source/andrew-napolitano,0,0,0,0,NA,NA,NA,NA,NA
Andrew Sullivan,right-center,4,Author,37,37,0.5,https://www.allsides.com/news-source/andrew-sullivan-media-bias,0,0,0,1,NA,NA,NA,NA,NA
Andy Ngo,center,3,Author,88,77,0.5333333333333333,https://www.allsides.com/news-source/andy-ngo-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Ann Coulter,right,5,Author,1141,277,0.8046544428772919,https://www.allsides.com/news-source/ann-coulter,0,0,0,1,Medium,NA,NA,NA,NA
Annafi Wahed,left-center,2,Author,221,212,0.5103926096997691,https://www.allsides.com/news-source/annafi-wahed-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
AP,center,3,Author,868,704,0.5521628498727735,https://www.allsides.com/news-source/ap,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Aquinas College Saint,left,1,News Media,769,476,0.6176706827309237,https://www.allsides.com/news-source/aquinas-college-saint,0,0,0,0,NA,NA,NA,NA,NA
Arkadi Gerney,left-center,2,Author,193,167,0.5361111111111111,https://www.allsides.com/news-source/arkadi-gerney,checked,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Arkansas Democrat-Gazette,left,1,News Media,818,619,0.5692414752957551,https://www.allsides.com/news-source/arkansas-democrat-gazette,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Associated Press,center,3,News Media,8112,5817,0.5823820805513676,https://www.allsides.com/news-source/associated-press-media-bias,1,0,0,0,Medium,https://twitter.com/@johnleicester?ref_src=twsrc%5Etfw,https://en.wikipedia.org/wiki/Associated_Press,https://www.facebook.com/APNews/,johnleicester
Association for Psychological Science,center,3,Think Tank / Policy Group,652,526,0.5534804753820034,https://www.allsides.com/news-source/association-psychological-science,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Atlanta Journal-Constitution,left-center,2,News Media,749,690,0.5205003474635164,https://www.allsides.com/news-source/atlanta-journal-constitution,0,0,0,0,Low or Initial Rating,https://twitter.com/ajc,https://en.wikipedia.org/wiki/The_Atlanta_Journal-Constitution,https://www.facebook.com/ajc/,ajc
Atlas Network,right,5,Think Tank / Policy Group,267,178,0.6,https://www.allsides.com/news-source/atlas-network,0,0,0,1,Medium,NA,NA,NA,NA
AtlasOne,right-center,4,Think Tank / Policy Group,208,241,0.46325167037861914,https://www.allsides.com/news-source/atlasone,0,0,0,1,Medium,NA,NA,NA,NA
Austin American-Statesman,left-center,2,News Media,659,498,0.5695764909248056,https://www.allsides.com/news-source/austin-american-statesman,0,0,0,1,Low or Initial Rating,https://twitter.com/statesman,https://en.wikipedia.org/wiki/Austin_American-Statesman,https://www.facebook.com/statesman,statesman
Axios,center,3,News Media,1356,1565,0.4642245806230743,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,https://twitter.com/@axios,https://en.wikipedia.org/wiki/Axios_(website),https://www.facebook.com/axiosnews/,axios
AZ Central,center,3,News Media,9,25,0.2647058823529412,https://www.allsides.com/news-source/az-central-media-bias,0,0,0,0,NA,https://twitter.com/azcentral,https://en.wikipedia.org/wiki/The_Arizona_Republic,https://www.facebook.com/azcentral/,azcentral
Barnstable Patriot,center,3,News Media,431,502,0.46195069667738475,https://www.allsides.com/news-source/barnstable-patriot,0,0,0,0,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/Barnstable_Patriot,NA,NA
BBC News,center,3,News Media,11212,10996,0.5048631123919308,https://www.allsides.com/news-source/bbc-news-media-bias,0,0,0,1,Medium,https://twitter.com/bbcworld,https://en.wikipedia.org/wiki/BBC,https://www.facebook.com/bbcnews/,bbcworld
Bearing Drift,right,5,News Media,527,453,0.5377551020408163,https://www.allsides.com/news-source/bearing-drift,0,0,0,1,High,NA,NA,NA,NA
Ben Sargent (cartoonist),left,1,Author,174,199,0.46648793565683644,https://www.allsides.com/news-source/ben-sargent-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Ben Shapiro,right,5,Author,1123,682,0.6221606648199446,https://www.allsides.com/news-source/ben-shapiro,0,0,0,1,NA,NA,NA,NA,NA
Ben Stein,right-center,4,Author,507,373,0.5761363636363637,https://www.allsides.com/news-source/ben-stein,checked,0,0,0,NA,NA,NA,NA,NA
Beth Ballentine,center,3,Author,315,368,0.4612005856515373,https://www.allsides.com/news-source/beth-ballentine,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Better Angels,allsides,NA,News Media,0,0,NaN,https://www.allsides.com/news-source/better-angels-media-bias,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Billy Binion,center,3,Author,214,164,0.5661375661375662,https://www.allsides.com/news-source/billy-binion,0,0,0,1,Medium,NA,NA,NA,NA
Bloomberg,center,3,News Media,6430,7570,0.4592857142857143,https://www.allsides.com/news-source/bloomberg-media-bias,0,1,0,1,Medium,https://twitter.com/business,https://en.wikipedia.org/wiki/Bloomberg_News,https://www.facebook.com/bloombergbusiness/,business
Blue Virginia,left,1,News Media,635,456,0.5820348304307974,https://www.allsides.com/news-source/blue-virginia,checked,0,0,0,NA,NA,NA,NA,NA
Bob Gorrell (cartoonist),right,5,Author,217,170,0.5607235142118863,https://www.allsides.com/news-source/bob-gorrell-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Boing Boing,left,1,News Media,763,490,0.6089385474860335,https://www.allsides.com/news-source/boing-boing,0,0,0,0,Low or Initial Rating,https://twitter.com/boingboing,http://en.wikipedia.org/wiki/Boing_Boing,https://www.facebook.com/boingboing,boingboing
Boston Herald,right-center,4,News Media,290,256,0.5311355311355311,https://www.allsides.com/news-source/boston-herald-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Boston Herald Editorial,right-center,4,News Media,155,142,0.5218855218855218,https://www.allsides.com/news-source/boston-herald-editorial-media-bias,1,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Bowling Green Daily News,left-center,2,News Media,499,543,0.47888675623800386,https://www.allsides.com/news-source/bowling-green-daily-news,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Breitbart News,right,5,News Media,17019,8114,0.6771575219830501,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews
Brent Bozell,right,5,Author,251,222,0.5306553911205074,https://www.allsides.com/news-source/brent-bozell,0,0,0,1,High,NA,NA,NA,NA
Bret Stephens,right-center,4,Author,215,270,0.44329896907216493,https://www.allsides.com/news-source/bret-stephens,0,0,0,0,NA,NA,NA,NA,NA
Brookings Institution,center,3,Think Tank / Policy Group,2222,1459,0.6036403151317576,https://www.allsides.com/news-source/brookings-institute,0,0,0,0,NA,NA,NA,NA,NA
Business Insider,center,3,News Media,1886,2155,0.46671615936649347,https://www.allsides.com/news-source/business-insider,0,0,0,0,NA,https://twitter.com/businessinsider,https://en.wikipedia.org/wiki/Business_Insider,http://www.facebook.com/businessinsider,businessinsider
Bustle,left-center,2,News Media,675,691,0.49414348462664714,https://www.allsides.com/news-source/bustle,0,0,0,1,Low or Initial Rating,https://twitter.com/bustle,NA,https://www.facebook.com/bustledotcom/,bustle
BuzzFeed News,left,1,News Media,6106,6551,0.48242079481709726,https://www.allsides.com/news-source/buzzfeed-media-bias,1,0,1,1,Medium,NA,https://en.wikipedia.org/wiki/BuzzFeed_News,NA,NA
C-SPAN,center,3,News Media,2719,810,0.7704732218758855,https://www.allsides.com/news-source/c-span,0,0,0,1,Medium,https://twitter.com/@cspan,https://en.wikipedia.org/wiki/C-SPAN,https://www.facebook.com/CSPAN,cspan
CalMatters,center,3,News Media,575,455,0.558252427184466,https://www.allsides.com/news-source/calmatters,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
CalWatchdog,center,3,News Media,446,471,0.48636859323882226,https://www.allsides.com/news-source/calwatchdog,0,0,0,1,Medium,NA,NA,NA,NA
Care 2,left,1,News Media,491,525,0.48326771653543305,https://www.allsides.com/news-source/care-2,0,0,0,1,NA,NA,NA,NA,NA
Carnegie Endowment for International Peace,center,3,Think Tank / Policy Group,385,303,0.559593023255814,https://www.allsides.com/news-source/carnegie-endowment-international-peace,0,0,1,0,NA,NA,NA,NA,NA
Carrie Lukas,right,5,Author,193,153,0.5578034682080925,https://www.allsides.com/news-source/carrie-lukas,checked,0,0,0,NA,NA,NA,NA,NA
Cathy Young,right-center,4,Author,11,17,0.39285714285714285,https://www.allsides.com/news-source/cathy-young-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Cato Institute (blog),right-center,4,Think Tank / Policy Group,899,1367,0.3967343336275375,https://www.allsides.com/news-source/cato-institute,0,0,0,0,NA,NA,NA,NA,NA
CBN,right,5,News Media,6333,3314,0.656473515082409,https://www.allsides.com/news-source/cbn,0,0,0,1,Medium,https://twitter.com/CBNNews?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://en.wikipedia.org/wiki/Christian_Broadcasting_Network,https://www.facebook.com/cbnonline,CBNNews
CBS News,left-center,2,News Media,6905,5391,0.5615647364996746,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews
Center - Major Media Sources,center,3,News Media,564,477,0.5417867435158501,https://www.allsides.com/news-source/center-major-media-sources,checked,0,0,0,NA,NA,NA,NA,NA
Center For American Progress,left-center,2,Think Tank / Policy Group,879,1294,0.40450989415554534,https://www.allsides.com/news-source/center-american-progress,0,0,0,0,NA,https://twitter.com/amprog,https://en.wikipedia.org/wiki/Center_for_American_Progress,https://www.facebook.com/americanprogress,amprog
Center for Media & Democracy PR Watch,left-center,2,Think Tank / Policy Group,217,214,0.5034802784222738,https://www.allsides.com/news-source/center-media-democracy-pr-watch,0,0,0,0,NA,NA,NA,NA,NA
Center for Public Integrity,left-center,2,News Media,577,648,0.4710204081632653,https://www.allsides.com/news-source/center-public-integrity,checked,0,0,0,NA,https://twitter.com/Publici,https://en.wikipedia.org/wiki/Center_for_Public_Integrity,https://www.facebook.com/publici/,Publici
Center for Strategic and Budgetary Assessments,right-center,4,Think Tank / Policy Group,344,418,0.45144356955380577,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments,0,0,0,0,NA,NA,NA,NA,NA
Center on Budget and Policy Priorities,left,1,Think Tank / Policy Group,685,607,0.5301857585139319,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0,0,0,0,0,NA,NA,NA,NA,NA
Centre View,left-center,2,News Media,460,524,0.46747967479674796,https://www.allsides.com/news-source/centre-view,checked,0,0,0,NA,NA,NA,NA,NA
Chan Lowe (cartoonist),left,1,Author,152,180,0.4578313253012048,https://www.allsides.com/news-source/chan-lowe-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Charles Blow,left-center,2,Author,206,211,0.4940047961630695,https://www.allsides.com/news-source/charles-blow,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Charles Krauthammer,right-center,4,Author,549,516,0.5154929577464789,https://www.allsides.com/news-source/charles-krauthammer,0,0,0,1,NA,NA,NA,NA,NA
Charlie Kirk,right,5,Author,32,15,0.6808510638297872,https://www.allsides.com/news-source/charlie-kirk-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Chicago Sun-Times,left-center,2,News Media,632,627,0.5019857029388404,https://www.allsides.com/news-source/chicago-sun-times,0,0,0,1,Medium,NA,https://en.wikipedia.org/wiki/Chicago_Sun-Times,NA,NA
Chicago Tribune,center,3,News Media,1753,3167,0.3563008130081301,https://www.allsides.com/news-source/chicago-tribune,0,0,0,1,Low or Initial Rating,https://twitter.com/@crepeau,https://en.wikipedia.org/wiki/Chicago_Tribune,https://www.facebook.com/chicagotribune,crepeau
Children’s Defense Fund,left,1,Think Tank / Policy Group,195,214,0.4767726161369193,https://www.allsides.com/news-source/childrens-defense-fund,0,0,0,0,NA,NA,NA,NA,NA
Chip Bok (cartoonist),right,5,Author,156,145,0.5182724252491694,https://www.allsides.com/news-source/chip-bok-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Chris Britt (cartoonist),center,3,Author,148,84,0.6379310344827587,https://www.allsides.com/news-source/chris-britt-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Chris Ruddy,right,5,Author,147,213,0.4083333333333333,https://www.allsides.com/news-source/chris-ruddy,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Christian Science Monitor,center,3,News Media,9130,12033,0.43141331569248215,https://www.allsides.com/news-source/christian-science-monitor,0,0,0,1,High,https://twitter.com/csmonitor?,https://en.wikipedia.org/wiki/The_Christian_Science_Monitor,https://www.facebook.com/ChristianScienceMonitor/,csmonitor
Christiane Amanpour,left-center,2,Author,317,409,0.4366391184573003,https://www.allsides.com/news-source/christiane-amanpour,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Christopher Buskirk,right-center,4,Author,60,55,0.5217391304347826,https://www.allsides.com/news-source/christopher-buskirk-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Chuck Asay (cartoonist),right,5,Author,181,151,0.5451807228915663,https://www.allsides.com/news-source/chuck-asay-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
City Journal,right,5,News Media,236,187,0.557919621749409,https://www.allsides.com/news-source/city-journal-media-bias,0,0,0,0,Low or Initial Rating,https://twitter.com/cityjournal,https://en.wikipedia.org/wiki/City_Journal_(New_York_City),https://www.facebook.com/CityJournal,cityjournal
CivilPolitics.org,center,3,Think Tank / Policy Group,211,210,0.501187648456057,https://www.allsides.com/news-source/civilpoliticsorg,0,0,0,1,NA,NA,NA,NA,NA
Clay Bennett (cartoonist),left,1,Author,125,93,0.573394495412844,https://www.allsides.com/news-source/clay-bennett-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
CNBC,center,3,News Media,1564,3975,0.2823614370825059,https://www.allsides.com/news-source/cnbc,0,0,0,1,Low or Initial Rating,https://twitter.com/CNBC,https://en.wikipedia.org/wiki/CNBC,https://www.facebook.com/cnbc,CNBC
CNET,center,3,News Media,154,136,0.5310344827586206,https://www.allsides.com/news-source/cnet,0,0,0,0,NA,https://twitter.com/CNET,https://en.wikipedia.org/wiki/CNET,https://www.facebook.com/cnet/,CNET
CNN (Web News),left-center,2,News Media,27746,28952,0.48936470422237116,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN
CNN - Editorial,left,1,News Media,8433,2395,0.7788141854451422,https://www.allsides.com/news-source/cnn-editorial,1,0,0,1,Medium,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN
CNS News,right,5,News Media,829,686,0.5471947194719472,https://www.allsides.com/news-source/cns-news,0,0,0,0,Low or Initial Rating,https://twitter.com/cnsnews,https://en.wikipedia.org/wiki/CNS_News,https://www.facebook.com/cnsnewscom,cnsnews
CNSNews.com,right,5,News Media,749,639,0.5396253602305475,https://www.allsides.com/news-source/cnsnewscom,0,0,0,1,Low or Initial Rating,https://twitter.com/cnsnews,https://en.wikipedia.org/wiki/CNS_News,https://www.facebook.com/cnsnewscom,cnsnews
Columbia Journalism Review,center,3,News Media,102,210,0.3269230769230769,https://www.allsides.com/news-source/columbia-journalism-review,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Commentary Magazine,right,5,News Media,128,132,0.49230769230769234,https://www.allsides.com/news-source/commentary-magazine-media-bias,0,0,0,1,Low or Initial Rating,https://twitter.com/Commentary/,https://en.wikipedia.org/wiki/Commentary_(magazine),https://www.facebook.com/commentarymagazine/,Commentary
Conor Friedersdorf,center,3,Author,12,16,0.42857142857142855,https://www.allsides.com/news-source/conor-friedersdorf-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Conservative HQ,right,5,News Media,740,327,0.6935332708528584,https://www.allsides.com/news-source/conservative-hq,0,0,0,1,Low or Initial Rating,https://twitter.com/RichardViguerie,https://en.wikipedia.org/wiki/Richard_Viguerie,https://www.facebook.com/ConservativeHQ,RichardViguerie
Cook Report,center,3,News Media,811,490,0.6233666410453498,https://www.allsides.com/news-source/cook-report,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Council on Foreign Relations,left,1,Think Tank / Policy Group,111,156,0.4157303370786517,https://www.allsides.com/news-source/council-foreign-relations-0,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Countable,center,3,News Media,23,25,0.4791666666666667,https://www.allsides.com/news-source/countable-media-bias,0,0,0,1,High,NA,NA,NA,NA
Counter Currents,left-center,2,News Media,289,200,0.591002044989775,https://www.allsides.com/news-source/counter-currents,0,0,0,1,Low or Initial Rating,https://twitter.com/countercurrents,NA,https://www.facebook.com/countercurrents/,countercurrents
Counterpointing,allsides,NA,News Media,328,313,0.5117004680187207,https://www.allsides.com/news-source/counterpointing,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
CrowdPAC,center,3,News Media,341,356,0.48923959827833574,https://www.allsides.com/news-source/crowdpac,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
CU Independent,center,3,News Media,278,342,0.4483870967741935,https://www.allsides.com/news-source/cu-independent,0,0,0,1,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/CU_Independent,NA,NA
Current Affairs,left,1,News Media,206,79,0.7228070175438597,https://www.allsides.com/news-source/current-affairs-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Daily Beast,left,1,News Media,7713,4241,0.6452233561987619,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,NA,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast
Daily Cardinal,center,3,News Media,339,362,0.48359486447931527,https://www.allsides.com/news-source/daily-cardinal,0,0,0,1,Low or Initial Rating,https://twitter.com/dailycardinal,https://en.wikipedia.org/wiki/The_Daily_Cardinal,https://www.facebook.com/The-Daily-Cardinal-67904168706/?ref=br_rs,dailycardinal
Daily Kos,left,1,News Media,5243,1937,0.7302228412256268,https://www.allsides.com/news-source/daily-kos,0,0,0,0,Low or Initial Rating,https://twitter.com/@Devilstower,https://en.wikipedia.org/wiki/Daily_Kos,https://www.facebook.com/dailykos/,Devilstower
Daily Mail,right,5,News Media,2470,1841,0.572952911157504,https://www.allsides.com/news-source/daily-mail,0,0,0,1,Medium,https://twitter.com/@RE_DailyMail,"https://en.wikipedia.org/wiki/Daily_Mail
",https://www.facebook.com/DailyMail,RE_DailyMail
Daily Northwestern,left-center,2,News Media,307,320,0.48963317384370014,https://www.allsides.com/news-source/daily-northwestern,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Daily Press,right-center,4,News Media,287,385,0.4270833333333333,https://www.allsides.com/news-source/daily-press,0,0,0,1,Low or Initial Rating,https://twitter.com/Daily_Press,https://en.wikipedia.org/wiki/Daily_Press_(Virginia),https://www.facebook.com/dailypressnews/,Daily_Press
Daily Progress,center,3,News Media,352,341,0.5079365079365079,https://www.allsides.com/news-source/daily-progress,checked,0,0,0,NA,NA,https://en.wikipedia.org/wiki/The_Daily_Progress,NA,NA
Daily Targum,left-center,2,News Media,195,335,0.36792452830188677,https://www.allsides.com/news-source/daily-targum,0,0,0,1,Low or Initial Rating,NA,https://en.wikipedia.org/wiki/The_Daily_Targum,NA,NA
Damon Linker,left-center,2,Author,221,237,0.48253275109170307,https://www.allsides.com/news-source/damon-linker,0,0,0,1,Medium,NA,NA,NA,NA
Dan Lucas,right,5,Author,69,51,0.575,https://www.allsides.com/news-source/dan-lucas,0,0,0,0,NA,NA,NA,NA,NA
Dan Wasserman (cartoonist),left,1,Author,52,22,0.7027027027027027,https://www.allsides.com/news-source/dan-wasserman-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Dana Milbank,center,3,Author,166,265,0.3851508120649652,https://www.allsides.com/news-source/dana-milbank,checked,0,0,0,NA,NA,NA,NA,NA
Dana Summers (cartoonist),right-center,4,Author,85,86,0.49707602339181284,https://www.allsides.com/news-source/dana-summers-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
David Brooks,right-center,4,Author,249,314,0.4422735346358792,https://www.allsides.com/news-source/david-brooks,0,0,0,1,Medium,NA,NA,NA,NA
David Holmes,left-center,2,Author,63,52,0.5478260869565217,https://www.allsides.com/news-source/david-holmes,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
David Ignatius,center,3,Author,111,142,0.43873517786561267,https://www.allsides.com/news-source/david-ignatius,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
David Leonhardt,left-center,2,Author,70,57,0.5511811023622047,https://www.allsides.com/news-source/david-leonhardt,0,0,0,0,NA,NA,NA,NA,NA
Debra Saunders,right,5,Author,128,107,0.5446808510638298,https://www.allsides.com/news-source/debra-saunders,checked,0,0,0,NA,NA,NA,NA,NA
Defense One,center,3,News Media,156,147,0.5148514851485149,https://www.allsides.com/news-source/defense-one-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Democracy Now,left,1,News Media,5405,1833,0.7467532467532467,https://www.allsides.com/news-source/democracy-now,0,0,0,1,Low or Initial Rating,https://twitter.com/DemocracyNow,https://en.wikipedia.org/wiki/Democracy_Now!,https://www.facebook.com/democracynow,DemocracyNow
Deseret News,right-center,4,News Media,1037,1685,0.3809698750918442,https://www.allsides.com/news-source/deseret-news,0,0,0,1,Low or Initial Rating,https://twitter.com/DeseretNews?ref_src=twsrcgoogletwcampserptwgrauthor,https://en.wikipedia.org/wiki/Deseret_News,https://www.facebook.com/deseretnews/,DeseretNews
Dick Locher (cartoonist),right,5,Author,19,44,0.30158730158730157,https://www.allsides.com/news-source/dick-locher-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Dick Morris,right-center,4,Author,149,204,0.42209631728045327,https://www.allsides.com/news-source/dick-morris,checked,0,0,0,NA,NA,NA,NA,NA
Diplomatic Courier,center,3,News Media,283,218,0.564870259481038,https://www.allsides.com/news-source/diplomatic-courier,0,0,0,1,Medium,https://twitter.com/diplocourier,https://en.wikipedia.org/wiki/Diplomatic_courier,https://www.facebook.com/diplocourier,diplocourier
Drew Litton (cartoonist),center,3,Author,30,72,0.29411764705882354,https://www.allsides.com/news-source/drew-litton-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Drew Sheneman (cartoonist),left,1,Author,57,47,0.5480769230769231,https://www.allsides.com/news-source/drew-sheneman-cartoonist,checked,0,0,0,NA,NA,NA,NA,NA
Drudge Report,right-center,4,News Media,1894,1203,0.6115595737810785,https://www.allsides.com/news-source/drudge-report,0,0,1,1,Medium,https://twitter.com/drudge_report,https://en.wikipedia.org/wiki/Drudge_Report,https://www.facebook.com/newdrudge/,drudge_report
Duke Chronicle,center,3,News Media,328,319,0.5069551777434312,https://www.allsides.com/news-source/duke-chronicle,0,0,0,1,Low or Initial Rating,https://twitter.com/DukeChronicle,http://en.wikipedia.org/wiki/The_Chronicle_(Duke_University),https://www.facebook.com/dukechronicle,DukeChronicle
E J Dionne,left,1,Author,474,379,0.5556858147713951,https://www.allsides.com/news-source/e-j-dionne,0,0,0,0,Low or Initial Rating,NA,NA,NA,NA
Economic Policy Institute,left,1,Think Tank / Policy Group,138,152,0.47586206896551725,https://www.allsides.com/news-source/economic-policy-institute-0,0,0,0,0,NA,NA,NA,NA,NA
